#,Country (or dependency),"Population
(2020)","Yearly
Change","Net
Change","Density
(P/Km²)","Land Area
(Km²)","Migrants
(net)","Fert.
Rate","Med.
Age","Urban
Pop %","World
Share"
63,Chile,"19,116,201",0.87 %,"164,163",26,"743,532","111,708",1.7,35,85 %,0.25 %
64,Kazakhstan,"18,776,707",1.21 %,"225,280",7,"2,699,700","-18,000",2.8,31,58 %,0.24 %
65,Zambia,"18,383,955",2.93 %,"522,925",25,"743,390","-8,000",4.7,18,45 %,0.24 %
66,Guatemala,"17,915,568",1.90 %,"334,096",167,"107,160","-9,215",2.9,23,52 %,0.23 %
67,Ecuador,"17,643,054",1.55 %,"269,392",71,"248,360","36,400",2.4,28,63 %,0.23 %
68,Syria,"17,500,658",2.52 %,"430,523",95,"183,630","-427,391",2.8,26,60 %,0.22 %
69,Netherlands,"17,134,872",0.22 %,"37,742",508,"33,720","16,000",1.7,43,92 %,0.22 %
70,Senegal,"16,743,927",2.75 %,"447,563",87,"192,530","-20,000",4.7,19,49 %,0.21 %
71,Cambodia,"16,718,965",1.41 %,"232,423",95,"176,520","-30,000",2.5,26,24 %,0.21 %
72,Chad,"16,425,864",3.00 %,"478,988",13,"1,259,200","2,000",5.8,17,23 %,0.21 %
73,Somalia,"15,893,222",2.92 %,"450,317",25,"627,340","-40,000",6.1,17,47 %,0.20 %
74,Zimbabwe,"14,862,924",1.48 %,"217,456",38,"386,850","-116,858",3.6,19,38 %,0.19 %
75,Guinea,"13,132,795",2.83 %,"361,549",53,"245,720","-4,000",4.7,18,39 %,0.17 %
76,Rwanda,"12,952,218",2.58 %,"325,268",525,"24,670","-9,000",4.1,20,18 %,0.17 %
77,Benin,"12,123,200",2.73 %,"322,049",108,"112,760","-2,000",4.9,19,48 %,0.16 %
78,Burundi,"11,890,784",3.12 %,"360,204",463,"25,680","2,001",5.5,17,14 %,0.15 %
79,Tunisia,"11,818,619",1.06 %,"123,900",76,"155,360","-4,000",2.2,33,70 %,0.15 %
80,Bolivia,"11,673,021",1.39 %,"159,921",11,"1,083,300","-9,504",2.8,26,69 %,0.15 %
81,Belgium,"11,589,623",0.44 %,"50,295",383,"30,280","48,000",1.7,42,98 %,0.15 %
82,Haiti,"11,402,528",1.24 %,"139,451",414,"27,560","-35,000",3.0,24,57 %,0.15 %
83,Cuba,"11,326,616",-0.06 %,"-6,867",106,"106,440","-14,400",1.6,42,78 %,0.15 %
84,South Sudan,"11,193,725",1.19 %,"131,612",18,"610,952","-174,200",4.7,19,25 %,0.14 %
85,Dominican Republic,"10,847,910",1.01 %,"108,952",225,"48,320","-30,000",2.4,28,85 %,0.14 %
86,Czech Republic (Czechia),"10,708,981",0.18 %,"19,772",139,"77,240","22,011",1.6,43,74 %,0.14 %
87,Greece,"10,423,054",-0.48 %,"-50,401",81,"128,900","-16,000",1.3,46,85 %,0.13 %
88,Jordan,"10,203,134",1.00 %,"101,440",115,"88,780","10,220",2.8,24,91 %,0.13 %
89,Portugal,"10,196,709",-0.29 %,"-29,478",111,"91,590","-6,000",1.3,46,66 %,0.13 %
90,Azerbaijan,"10,139,177",0.91 %,"91,459",123,"82,658","1,200",2.1,32,56 %,0.13 %
91,Sweden,"10,099,265",0.63 %,"62,886",25,"410,340","40,000",1.9,41,88 %,0.13 %
92,Honduras,"9,904,607",1.63 %,"158,490",89,"111,890","-6,800",2.5,24,57 %,0.13 %
93,United Arab Emirates,"9,890,402",1.23 %,"119,873",118,"83,600","40,000",1.4,33,86 %,0.13 %
94,Hungary,"9,660,351",-0.25 %,"-24,328",107,"90,530","6,000",1.5,43,72 %,0.12 %
95,Tajikistan,"9,537,645",2.32 %,"216,627",68,"139,960","-20,000",3.6,22,27 %,0.12 %
96,Belarus,"9,449,323",-0.03 %,"-3,088",47,"202,910","8,730",1.7,40,79 %,0.12 %
97,Austria,"9,006,398",0.57 %,"51,296",109,"82,409","65,000",1.5,43,57 %,0.12 %
98,Papua New Guinea,"8,947,024",1.95 %,"170,915",20,"452,860",-800,3.6,22,13 %,0.11 %
99,Serbia,"8,737,371",-0.40 %,"-34,864",100,"87,460","4,000",1.5,42,56 %,0.11 %
100,Israel,"8,655,535",1.60 %,"136,158",400,"21,640","10,000",3.0,30,93 %,0.11 %
